char_ngram,count
 ē,4496
 ė,2645
 ę,75
 ě,45
 ĝ,13639
 ğ,56
 ġ,132668
 ģ,7950
 ĥ,130
 ħ,73542
 ĩ,7568
 ī,59250
 ĭ,1
 į,226772
 ı,3475
 ĳ,3
 ĵ,1437
 ķ,26344
 ĺ,147
 ļ,14804
 ľ,14376
 ŀ,1
 ł,9185
 ń,57
 ņ,14813
 ň,3274
 ŉ,5
 ŋ,7
 ō,104
 ŏ,9
 ő,20924
 œ,4749
 ŕ,34
 ŗ,3
 ř,32215
 ś,31539
 ŝ,18591
 ş,224066
 š,634464
 ţ,11286
 ť,14725
 ŧ,1
 ũ,925
 ū,416740
 ŭ,25
 ů,38
 ű,620
 ų,572
 ŷ,7
 ź,1936
 ż,160102
 ž,455683
 ƀ,1
 ƒ,356
 ƙ,25113
 ơ,16591
 ư,4064
 ǎ,1
 ǐ,2
 ǝ,2
 ǻ,3
 ș,22691
 ț,1606
 ɓ,4846
 ɗ,8461
 ə,105905
 ɛ,1
 ʇ,2
 ʖ,56
 ʱ,1
 ʹ,2
 ʻ,3
 ʼ,41
 ʽ,2
 ʿ,4
 ˆ,12
 ˇ,46
 ˈ,15
 ˊ,1
 ˌ,1
 ː,1
 ˘,4
 ˙,18
 ˚,100
 ˛,10
 ˜,24
 ˝,34
 ˦,43
 ˮ,1
 ̀,6
 ́,6
 ̃,1
 ̉,4
 ̊,1
 ̌,21
 ̣,2
 ̮,1
 ̶,26
 ͠,12
 ΄,582
 ΅,2
 ·,264
 ΐ,3
 ά,59346
 έ,180610
 ή,61837
 ί,11608
 ΰ,5
 α,476297
 β,80555
 γ,185611
 δ,256290
 ε,493100
 ζ,24376
 η,72012
 θ,137476
 ι,29604
 κ,481936
 λ,79786
 μ,487829
 ν,288434
 ξ,41283
 ο,137349
 π,575472
 ρ,25387
 ς,287
 σ,515831
 τ,832578
 υ,53936
 φ,83786
 χ,89277
 ψ,11251
 ω,11723
 ϊ,54
 ϋ,9
 ό,134364
 ύ,3217
 ώ,8377
 а,765040
 б,1421540
 в,1996142
 г,722014
 д,1858732
 е,608210
 ж,200203
 з,1058669
 и,1388917
 й,56421
 к,1646948
 л,361198
 м,1525189
 н,2341412
 о,1418927
 п,2384954
 р,730284
 с,2639455
 т,1569440
 у,601789
 ф,207127
 х,344734
 ц,145146
 ч,584742
 ш,267199
 щ,139834
 ъ,1457
 ы,6055
 ь,904
 э,282118
 ю,48189
 я,334840
 ё,32765
 ђ,103
 ѓ,3753
 є,15151
 ѕ,2406
 і,74122
 ї,17622
 ј,99605
 љ,2966
 њ,2330
 ћ,2523
 ќ,74799
 ѝ,313
 ў,59923
 џ,12121
 ѣ,1
 ҆,1
 ҉,9
 ґ,16463
 ғ,12087
 җ,36629
 қ,174602
 ң,4
 ҫ,21
 ү,35068
 ұ,801
 ҳ,142290
 ҷ,26507
 һ,54064
 ӓ,1
 ә,47629
 ӣ,2
 ө,36901
 ӯ,17816
 ԛ,2
 ՝,1
 ՞,1
 ա,2946
 բ,682
 գ,771
 դ,923
 ե,1942
 զ,188
 է,1743
 ը,181
 թ,489
 ժ,155
 ի,1048
 լ,419
 խ,436
 ծ,192
 կ,1423
 հ,1566
 ձ,347
 ղ,2
 ճ,121
 մ,1803
 յ,46
 ն,1010
 շ,314
 ո,1695
 չ,804
 պ,857
 ջ,80
 ռ,83
 ս,751
 վ,567
 տ,782
 ր,11
 ց,141
 փ,254
 ք,509
 օ,243
 ֆ,73
 և,353
 ։,17
 ֐,3
 ֱ,1
 ָ,2
 ֹ,1
 ּ,2
 ־,12
 ׁ,2
 ׂ,6
 א,625216
 ב,286305
 ג,50485
 ד,51767
 ה,540347
 ו,92201
 ז,121137
 ח,92396
 ט,39053
 י,166892
 ך,83
 כ,166475
 ל,605693
 ם,238
 מ,394283
 ן,104
 נ,101677
 ס,42786
 ע,181122
 ף,44
 פ,62165
 ץ,15
 צ,44322
 ק,66797
 ר,92263
 ש,397715
 ת,82490
 װ,1805
 ׳,12
 ؂,185
 ،,82279
 ؑ,291
 ؛,2618
 ؟,73421
 ء,294
 آ,568591
 أ,547537
 ؤ,457
 إ,182147
 ئ,540590
 ا,5573347
 ب,2906439
 ة,45
 ت,1896557
 ث,28618
 ج,1145739
 ح,405300
 خ,691304
 د,1463886
 ذ,99201
 ر,903960
 ز,282261
 س,1356105
 ش,487324
 ص,142916
 ض,41996
 ط,203154
 ظ,42965
 ع,588185
 غ,109287
 ـ,8889
 ف,597470
 ق,522250
 ك,333601
 ل,1247981
 م,2561356
 ن,1613776
 ه,582249
 و,1745598
 ى,117
 ي,418969
 ً,967
 ٌ,35
 ٍ,86
 َ,135
 ُ,214
 ِ,1196
 ّ,832
 ْ,61
 ٓ,239
 ٠,4
 ١,180
 ٢,174
 ٣,43
 ٤,28
 ٥,47
 ٦,25
 ٧,13
 ٨,28
 ٩,26
 ٪,35
 ٫,4
 ٬,11
 ٭,656
 ٰ,121
 ٱ,6
 ٴ,30
 ٶ,59
 ٹ,32502
 ټ,3709
 پ,1146459
 ځ,2239
 څ,808
 چ,438305
 ڈ,68583
 ډ,1928
 ڑ,243
 ړ,1462
 ڕ,68338
 ژ,9371
 ښ,3139
 ڤ,52
 ڧ,8
 ک,4155355
 ڪ,8
 ګ,847
 گ,659738
 ڵ,103
 ڷ,2
 ں,6324
 ھ,51588
 ہ,1939791
 ۉ,2
 ۋ,34104
 ی,368930
 ێ,15
 ے,1018
 ۔,2168
 ۞,6
 ۤ,72
 ۩,39
 ۰,133
 ۱,2045
 ۲,1295
 ۳,425
 ۴,365
 ۵,277
 ۶,190
 ۷,179
 ۸,115
 ۹,210
 ܔ,2
 ँ,5
 ं,40
 ः,22
 अ,256710
 आ,133720
 इ,85195
 ई,21575
 उ,270631
 ऊ,5198
 ऋ,309
 ऌ,30
 ऍ,61
 ए,69075
 ऐ,19775
 ऑ,3222
 ओ,13138
 औ,201772
 क,1088218
 ख,78537
 ग,213595
 घ,21853
 ङ,1
 च,113182
 छ,51228
 ज,302893
 झ,15697
 ञ,8
 ट,21735
 ठ,16095
 ड,44815
 ढ,6364
 ण,1
 त,374712
 थ,59890
 द,239511
 ध,16437
 न,302378
 प,432094
 फ,107451
 ब,284267
 भ,111552
 म,383744
 य,133134
 र,204781
 ऱ,14
 ल,269061
 ळ,10
 व,236358
 श,49149
 ष,66
 स,557805
 ह,702109
 ़,59
 ा,11
 ि,363
 ी,4
 ु,15
 ृ,15
 ॅ,15
 े,7
 ै,3
 ो,1
 ्,15
 ॐ,3
 क़,20120
 ख़,42966
 ग़,6442
 ज़,24732
 ड़,15
 ढ़,61
 फ़,4444
 ।,282486
 ॥,2
 ०,1120
 १,2944
 २,2060
 ३,1081
 ४,557
 ५,532
 ६,330
 ७,318
 ८,341
 ९,277
 ঃ,50
 অ,342411
 আ,744491
 ই,72191
 ঈ,10663
 উ,148324
 ঊ,566
 ঋ,964
 এ,573730
 ঐ,6166
 ও,106251
 ঔ,602
 ক,1235881
 খ,71949
 গ,142913
 ঘ,44274
 ঙ,32
 চ,156812
 ছ,107466
 জ,273899
 ঝ,6959
 ঞ,14898
 ট,74712
 ঠ,22962
 ড,54102
 ঢ,4568
 ণ,8727
 ত,881226
 থ,154911
 দ,403768
 ধ,85262
 ন,538033
 প,750159
 ফ,108349
 ব,760926
 ভ,143418
 ম,393146
 য,576870
 র,302612
 ল,175032
 শ,151132
 ষ,35826
 স,753916
 হ,402553
 ়,112
 া,115
 ি,29
 ী,14
 ু,15
 ে,61
 ্,910271
 ৎ,5
 ড়,1
 য়,195
 ০,955
 ১,16656
 ২,18970
 ৩,5443
 ৪,3231
 ৫,3532
 ৬,2295
 ৭,2226
 ৮,1933
 ৯,1713
 ৰ,8845
 ৱ,391
 ৳,4
 ৷,1429
 ਂ,1
 ਅ,6673
 ਆ,3427
 ਇ,6904
 ਈ,817
 ਉ,3654
 ਊ,21
 ਏ,136
 ਐ,1963
 ਓ,557
 ਔ,15
 ਕ,23164
 ਖ,4491
 ਗ,4707
 ਘ,757
 ਚ,7709
 ਛ,659
 ਜ,13171
 ਝ,782
 ਟ,3771
 ਠ,510
 ਡ,4684
 ਢ,520
 ਤ,8379
 ਥ,784
 ਦ,11793
 ਧ,168
 ਨ,17853
 ਪ,10871
 ਫ,8031
 ਬ,8860
 ਭ,1821
 ਮ,7477
 ਯ,1186
 ਰ,7249
 ਲ,15269
 ਲ਼,135
 ਵ,15254
 ਸ਼,782
 ਸ,23392
 ਹ,20905
 ਼,6
 ੈ,1
 ਜ਼,6
 ੜ,1
 ਫ਼,9
 ੦,29
 ੧,81
 ੨,173
 ੩,7
 ੪,2
 ੫,31
 ੬,21
 ੭,18
 ੮,2
 ੯,11
 ੳ,1
 ં,5
 અ,35998
 આ,27556
 ઇ,2969
 ઈ,2551
 ઉ,11815
 ઊ,1697
 ઋ,17
 ઍ,309
 એ,15969
 ઐ,7
 ઑ,160
 ઓ,4292
 ઔ,4
 ક,119986
 ખ,15828
 ગ,9638
 ઘ,4802
 ચ,16460
 છ,48722
 જ,40457
 ઝ,1016
 ટ,5843
 ઠ,5
 ડ,10102
 ઢ,328
 ણ,1
 ત,38219
 થ,19528
 દ,22562
 ધ,2208
 ન,86508
 પ,78687
 ફ,26272
 બ,43059
 ભ,11349
 મ,77392
 ય,8597
 ર,33430
 લ,17857
 ળ,1
 વ,45116
 શ,31954
 ષ,1
 સ,97532
 હ,19634
 ા,3
 િ,11
 ી,8
 ે,3
 ો,2
 ્,9
 ૢ,2
 ૦,476
 ૧,1123
 ૨,893
 ૩,531
 ૪,211
 ૫,130
 ૬,105
 ૭,103
 ૮,97
 ૯,90
 ଅ,1805
 ଆ,1201
 ଇ,171
 ଉ,836
 ଋ,3
 ଏ,1104
 ଓ,204
 କ,5259
 ଖ,520
 ଗ,735
 ଘ,280
 ଙ,14
 ଚ,776
 ଛ,106
 ଜ,199
 ଝ,11
 ଟ,249
 ଠ,116
 ଡ,337
 ଢ,5
 ତ,918
 ଥ,219
 ଦ,1126
 ଧ,273
 ନ,2126
 ପ,4411
 ଫ,681
 ବ,2592
 ଭ,520
 ମ,1028
 ଯ,706
 ର,786
 ଲ,432
 ଶ,341
 ଷ,6
 ସ,4507
 ହ,930
 ୟ,111
 ୤,18
 ୦,2
 ୧,42
 ୨,36
 ୩,19
 ୪,10
 ୫,10
 ୬,7
 ୭,3
 ୮,10
 ୯,6
 ୱ,146
 ஃ,1536
 அ,274215
 ஆ,31288
 இ,139852
 ஈ,5533
 உ,91007
 ஊ,1928
 எ,108703
 ஏ,13640
 ஐ,1897
 ஒ,28727
 ஓ,5613
 ஔ,2
 க,190851
 ங,83
 ச,128848
 ஜ,3239
 ஞ,2539
 ட,2130
 ண,30
 த,113973
 ந,195526
 ன,111
 ப,168757
 ம,144540
 ய,9509
 ர,3166
 ற,159
 ல,1662
 ள,64
 ழ,4
 வ,156100
 ஷ,1784
 ஸ,3441
 ஹ,2243
 ா,3
 ி,1
 ீ,4
 ு,3
 ெ,14
 ே,4
 ை,5
 ்,12
 ௾,3
 అ,12504
 ఆ,4681
 ఇ,3912
 ఈ,1687
 ఉ,7880
 ఊ,156
 ఋ,4
 ఎ,3721
 ఏ,2816
 ఐ,296
 ఒ,4177
 ఓ,561
 ఔ,64
 క,14479
 ఖ,470
 గ,4438
 ఘ,30
 చ,10083
 ఛ,43
 జ,2526
 ట,1182
 ఠ,2
 డ,2100
 ఢ,2
 త,7023
 థ,152
 ద,3150
 ధ,354
 న,12387
 ప,11793
 ఫ,1570
 బ,3653
 భ,1384
 మ,20083
 య,2455
 ర,3218
 ల,5794
 వ,13119
 శ,906
 ష,459
 స,8757
 హ,1657
 ్,1
 ಅ,2778
 ಆ,1449
 ಇ,989
 ಈ,458
 ಉ,494
 ಊ,10
 ಋ,9
 ಎ,749
 ಏ,89
 ಐ,60
 ಒ,699
 ಓ,80
 ಔ,9
 ಕ,3293
 ಖ,181
 ಗ,1578
 ಘ,121
 ಚ,589
 ಛ,15
 ಜ,343
 ಝ,5
 ಟ,171
 ಡ,305
 ತ,1479
 ಥ,17
 ದ,736
 ಧ,52
 ನ,2655
 ಪ,2847
 ಫ,169
 ಬ,2592
 ಭ,172
 ಮ,3048
 ಯ,380
 ರ,389
 ಲ,320
 ಳ,1
 ವ,2027
 ಶ,507
 ಷ,4
 ಸ,3940
 ಹ,1971
 ಾ,1
 ು,2
 ೆ,1
 ್,2
 ೦,24
 ೧,71
 ೨,49
 ೩,16
 ೪,19
 ೫,13
 ೬,8
 ೭,11
 ೮,10
 ೯,9
 ം,1
 ഃ,2
 അ,628947
 ആ,116194
 ഇ,120153
 ഈ,20212
 ഉ,74106
 ഊ,2739
 ഋ,101
 എ,199510
 ഏ,26602
 ഐ,2935
 ഒ,103962
 ഓ,18102
 ഔ,1391
 ക,380093
 ഖ,4498
 ഗ,15959
 ഘ,1406
 ങ,178
 ച,154104
 ഛ,258
 ജ,47974
 ഝ,2
 ഞ,80879
 ട,8110
 ഠ,3
 ഡ,10004
 ഢ,2
 ണ,55
 ത,230210
 ഥ,302
 ദ,61215
 ധ,9496
 ന,565499
 പ,432800
 ഫ,14940
 ബ,33560
 ഭ,41909
 മ,221291
 യ,26073
 ര,52396
 റ,10655
 ല,20844
 ള,43
 ഴ,43
 വ,324375
 ശ,55521
 ഷ,2881
 സ,229053
 ഹ,15763
 ീ,1
 െ,1
 ൈ,1
 ോ,1
 ്,17
 ൮,2
 ൻ,11
 ൽ,106
 ൾ,1
 ං,5
 අ,204246
 ආ,49183
 ඇ,79199
 ඈ,1348
 ඉ,89775
 ඊ,5217
 උ,57939
 ඌ,2638
 ඍ,87
 එ,217332
 ඒ,85553
 ඓ,39
 ඔ,179682
 ඕ,49296
 ඖ,77
 ක,493185
 ඛ,476
 ග,153954
 ඝ,713
 ඟ,18
 ච,7950
 ඡ,472
 ජ,26223
 ඣ,6
 ඤ,6
 ඥ,183
 ට,18154
 ඩ,8313
 ණ,708
 ත,171298
 ථ,4
 ද,217590
 ධ,1597
 න,237032
 ඳ,26
 ප,213847
 ඵ,433
 බ,113214
 භ,5733
 ම,394428
 ඹ,30
 ය,81311
 ර,37542
 ල,53373
 ව,336753
 ශ,7389
 ෂ,1917
 ස,152954
 හ,212320
 ළ,5806
 ෆ,5518
 ්,16
 ා,46
 ැ,107
 ෑ,4
 ි,20
 ී,2
 ු,4
 ෙ,4031
 ෛ,1
 ෴,91
 ฀,1319
 ก,26943
 ข,18884
 ฃ,4
 ค,45465
 ฅ,1
 ฆ,592
 ง,3072
 จ,21605
 ฉ,33495
 ช,10246
 ซ,6192
 ฌ,46
 ญ,69
 ฏ,6
 ฐ,58
 ฑ,6
 ฒ,1
 ณ,563
 ด,13305
 ต,17080
 ถ,12108
 ท,40642
 ธ,438
 น,30249
 บ,11036
 ป,8120
 ผ,23157
 ฝ,821
 พ,24053
 ฟ,3219
 ภ,1081
 ม,33939
 ย,6467
 ร,11668
 ฤ,60
 ล,8820
 ฦ,3
 ว,14309
 ศ,577
 ษ,4
 ส,17465
 ห,21423
 ฬ,1
 อ,28553
 ฮ,2885
 ฯ,11
 ะ,441
 ั,490
 า,19
 ำ,4
 ิ,2
 ี,10
 ึ,1
 ื,5
 ุ,5
 ู,1
 ฺ,1
 เ,130839
 แ,91345
 โ,18325
 ใ,24823
 ไ,44212
 ๆ,7617
 ็,4
 ่,16
 ้,9
 ์,3
 ๏,7
 ๑,4
 ๒,9
 ๔,4
 ๕,2
 ๖,1
 ๘,1
 ་,1
 ༠,1
 ༡,1
 ༤,1
 ཀ,2
 ཁ,12
 ག,41
 ང,2
 ཅ,3
 ཆ,1
 ཇ,2
 ཉ,8
 ཊ,3
 ཌ,3
 ཏ,8
 ཐ,26
 ད,52
 ན,3
 པ,7
 ཕ,8
 བ,42
 མ,12
 ཚ,6
 ཝ,2
 ཞ,1
 ཟ,3
 འ,25
 ཡ,18
 ར,32
 ལ,22
 ཤ,3
 ས,28
 ཧ,4
 ཨ,12
 က,3165
 ခ,1510
 ဂ,165
 င,124
 စ,2692
 ဆ,1146
 ဇ,54
 ဉ,1
 ည,133
 ဌ,7
 တ,2106
 ထ,1102
 ဒ,825
 ဓ,169
 န,1620
 ပ,4131
 ဖ,3404
 ဗ,228
 ဘ,686
 မ,3842
 ယ,266
 ရ,2952
 လ,2175
 ဝ,466
 သ,2958
 ဟ,160
 အ,8687
 ဤ,125
 ဥ,117
 ဦ,21
 ဧ,37
 ဩ,9
 ာ,9
 ု,5
 ေ,1
 ွ,2
 ၀,72
 ၁,246
 ၂,170
 ၃,49
 ၄,151
 ၅,22
 ၆,17
 ၇,20
 ၈,15
 ၉,47
 ၊,10
 ။,12
 ၌,3
 ၍,1
 ၎,40
 ၏,129
 ა,26080
 ბ,45368
 გ,83288
 დ,55107
 ე,129858
 ვ,59841
 ზ,8185
 თ,70542
 ი,4519
 კ,73648
 ლ,31939
 მ,101819
 ნ,144550
 ო,108558
 პ,27983
 ჟ,186981
 რ,102785
 ს,24560
 ტ,6177
 უ,5404
 ფ,31072
 ქ,10664
 ღ,15244
 ყ,914
 შ,4285
 ჩ,1717
 ც,1518
 ძ,843
 წ,7087
 ჭ,166
 ხ,1417
 ჯ,346
 ჰ,282
 ჱ,59281
 ჲ,62565
 ჳ,11953
 ჴ,2
 ሀ,282
 ሁ,8978
 ሂ,115
 ሃ,1060
 ሄ,24
 ህ,92
 ሆ,5705
 ለ,25476
 ሉ,212
 ሊ,2704
 ላ,18228
 ሌ,4943
 ል,5781
 ሎ,22
 ሐ,475
 ሒ,10
 ሓ,25
 ሔ,17
 ሕ,5405
 መ,33144
 ሙ,1836
 ሚ,682
 ማ,6064
 ሜ,49
 ም,14067
 ሞ,668
 ሟ,61
 ሠ,787
 ሥ,3178
 ሦ,140
 ረ,1568
 ሩ,411
 ሪ,45
 ራ,495
 ሬ,53
 ር,348
 ሮ,2
 ሰ,15542
 ሱ,221
 ሲ,5645
 ሳ,996
 ሴ,1413
 ስ,7712
 ሶ,581
 ሷ,90
 ሸ,526
 ሹ,123
 ሺ,175
 ሻ,46
 ሼ,2
 ሽ,325
 ሾ,1
 ቀ,7424
 ቁ,2125
 ቂ,196
 ቃ,2226
 ቅ,6103
 ቆ,555
 ቋ,262
 ቍ,101
 በ,90901
 ቡ,89
 ቢ,3549
 ባ,9578
 ቤ,1402
 ብ,11883
 ቦ,73
 ቧ,2
 ቪ,42
 ቬ,2
 ቮ,2
 ተ,16338
 ቱ,20
 ቲ,13
 ታ,5116
 ቴ,54
 ት,6032
 ቶ,34
 ቸ,150
 ቹ,1
 ቻ,670
 ቼ,2
 ች,1230
 ቾ,2
 ኀ,857
 ኃ,908
 ኅ,46
 ኋ,337
 ነ,35384
 ኑ,424
 ኒ,13
 ና,7794
 ኔ,12
 ን,1882
 ኖ,1899
 ኛ,1
 ኞ,15
 አ,89247
 ኡ,4
 ኢ,750
 ኤ,41
 እ,58668
 ኦ,96
 ከ,46050
 ኩ,394
 ኪ,878
 ካ,1632
 ኬ,28
 ክ,2356
 ኮ,430
 ኳ,9
 ኸ,15
 ኹ,362
 ኺ,180
 ኼ,75
 ኾ,5235
 ወ,17841
 ዉ,3
 ዊ,2
 ዋ,840
 ዌ,5
 ው,10643
 ዎ,4
 ዐ,3477
 ዑ,30
 ዒ,182
 ዓ,2462
 ዕ,2600
 ዘ,7635
 ዙ,186
 ዚ,13
 ዛ,653
 ዜ,174
 ዝ,1317
 ዞ,98
 ዟ,30
 ዢ,6
 ዦ,2
 የ,64286
 ዩ,263
 ዪ,1
 ያ,22391
 ይ,24360
 ዮ,29
 ደ,2189
 ዱ,30
 ዲ,122
 ዳ,351
 ዴ,23
 ድ,2854
 ዶ,213
 ጀ,385
 ጁ,3
 ጂ,104
 ጃ,44
 ጄ,1
 ጅ,38
 ጆ,116
 ገ,4022
 ጉ,831
 ጊ,9811
 ጋ,2395
 ጌ,5690
 ግ,5039
 ጎ,457
 ጐ,3
 ጓ,531
 ጠ,3061
 ጡ,34
 ጢ,4
 ጣ,1528
 ጤ,4
 ጥ,4621
 ጦ,192
 ጧ,29
 ጨ,1001
 ጩ,179
 ጫ,328
 ጭ,1322
 ጮ,30
 ጴ,10
 ጸ,1589
 ጻ,117
 ጽ,393
 ጾ,15
 ጿ,30
 ፀ,290
 ፃ,10
 ፅ,18
 ፆ,2
 ፈ,3397
 ፉ,69
 ፊ,845
 ፋ,597
 ፌ,25
 ፍ,3230
 ፎ,156
 ፐ,2
 ፒ,8
 ፓ,70
 ፔ,8
 ፕ,268
 ፖ,92
 ፡,223196
 ።,30
 ፣,6774
 ፤,10876
 ፥,30
 ፦,18
 ፱,16
 ក,5701
 ខ,944
 គ,2811
 ឃ,42
 ង,34
 ច,2516
 ឆ,232
 ជ,2621
 ឈ,269
 ញ,10
 ដ,9270
 ឋ,2
 ឌ,130
 ណ,90
 ត,2856
 ថ,717
 ទ,2791
 ធ,709
 ន,11837
 ប,10465
 ផ,1295
 ព,3000
 ភ,323
 ម,4074
 យ,547
 រ,2978
 ល,1463
 វ,2231
 ស,4983
 ហ,2730
 ឡ,319
 អ,6002
 ឥ,151
 ឧ,800
 ឪ,5
 ឫ,10
 ឬ,4382
 ឯ,545
 ឱ,4
 ឲ,131
 ិ,1
 ូ,1
 ើ,1
 ៅ,1
 ្,1
 ។,31133
 ៖,10956
 ៗ,1
 ០,212
 ១,1080
 ២,1487
 ៣,406
 ៤,278
 ៥,177
 ៦,124
 ៧,79
 ៨,91
 ៩,76
 ᵽ,40
 ᶍ,5
 ḍ,1
 ḥ,9
 ḷ,1
 ḿ,6
 ṃ,1
 ṣ,889
 ṭ,2
 ạ,2924
 ả,4429
 ấ,32730
 ầ,65
 ẩ,835
 ẫ,1
 ậ,41
 ắ,70
 ằ,1
 ẳ,5
 ẵ,6
 ặ,3
 ẹ,559
 ẻ,54
 ẽ,16
 ế,190
 ề,7
 ể,1
 ễ,1
 ệ,10
 ỉ,36
 ị,656
 ọ,4249
 ỏ,22
 ố,966
 ồ,833
 ổ,6815
 ỗ,2
 ộ,2
 ớ,120
 ờ,278
 ở,40599
 ỡ,4
 ợ,25
 ụ,1537
 ủ,829
 ứ,1438
 ừ,1322
 ử,17
 ự,4
 ỵ,1
 ỷ,3
 ỹ,5
 ἀ,5
 ἐ,5
 ἰ,4
 ἱ,1
 ὰ,1
 ὲ,1
 ὴ,2
 ὸ,1
 ὼ,2
 ​,4993
 ‌,16483
 ‍,15428
 ‎,56935
 ‏,7554
 ‐,208
 ‑,144
 ‒,130
 –,171305
 —,71211
 ―,1282
 ‘,15776
 ’,250729
 ‚,2668
 ‛,3
 “,146409
 ”,59852
 „,63253
 ‟,25
 †,652
 ‡,122
 •,23333
 ․,1
 …,26711
 ‧,1
 ‪,351
 ‫,4392
 ‬,134
 ‭,26
 ‰,89
 ′,47
 ″,34
 ‵,1
 ‹,739
 ›,468
 ※,29
 ⁊,5
 ⁴,1
 ⁿ,2
 ₂,1
 ₩,9
 ₪,4
 ₫,1
 €,10516
 ₴,2
 ₹,5
 ℃,6
 ℓ,5
 №,4346
 ™,456
 ⅓,5
 ⅔,1
 ⅱ,2
 ←,25
 ↑,978
 →,938
 ↓,1907
 ↔,487
 ↗,2
 ↵,3
 ↶,6
 ↷,6
 ⇒,24
 ∂,15
 ∅,4
 ∆,492
 ∈,1
 ∏,1
 ∑,17
 −,3149
 ∕,15
 ∗,32
 ∙,3354
 √,230
 ∝,16
 ∞,263
 ∫,12
 ∮,70
 ∼,8
 ≈,83
 ≠,105
 ≡,11
 ≤,4413
 ≥,5497
 ≦,1
 ≧,2
 ≪,28
 ≫,10
 ⊿,21
 ⋅,16
 ⋯,1
 ⌈,1
 ⌊,1
 ⌋,1
 ⌦,35
 ⌫,36
 ⎢,4
 ⎤,4
 ⎥,9
 ⎦,2
 ⏐,11
 ⑴,17
 ⑵,11
 ⑶,7
 ⑷,7
 ⑸,3
 ⑹,3
 ⑺,2
 ⑻,2
 ⑼,1
 ⑽,1
 ⑾,2
 ⑿,1
 ─,276
 ━,66
 │,67
 ┆,7
 ┐,3
 └,9
 ┕,2
 ┘,9
 ├,6
 ┝,2
 ┟,3
 ┠,3
 ┤,2
 ┥,1
 ┦,1
 ┪,5
 ┫,4
 ┬,19
 ┮,9
 ┲,5
 ┴,3
 ╆,3
 ╇,2
 ╈,2
 ║,5
 ╝,6
 ╟,1
 ╠,6
 ╣,1
 ╦,1
 ╧,2
 ╪,2
 ▀,1
 █,8
 ▌,5
 ░,9
 ▒,5
 ■,486
 □,94
 ▪,35
 ▫,8
 ▬,1
 △,2
 ▶,5
 ►,695
 ▻,21
 ▼,450
 ◄,33
 ◆,2
 ◊,2
 ○,2
 ●,338
 ◾,6
 ★,20
 ☆,1
 ☎,1
 ☏,15
 ☠,3
 ☯,4
 ☹,6
 ☺,25
 ☻,1
 ♀,9
 ♂,10
 ♞,1
 ♠,3
 ♡,14
 ♣,5
 ♥,102
 ♦,78
 ♩,52
 ♪,36234
 ♫,2217
 ♬,342
 ♭,7
 ♻,7
 ✌,4
 ✔,4
 ✘,46
 ✮,15
 ✿,14
 ❄,7
 ❖,11
 ❚,2
 ❤,16
 ➔,8
 ➡,4
 ➣,33
 ➾,40
 ⬄,1
 ⴗ,1
 、,372
 。,1179
 〇,1
 〈,95
 〉,100
 《,2780
 》,76
 「,1265
 」,482
 『,69
 』,18
 【,43
