char_ngram,count
а,18812631
б,3591085
в,6540884
г,3286393
д,6485674
е,13689830
ж,1334946
з,3278823
и,13173721
й,1548514
к,5761152
л,6575245
м,5982786
н,11550725
о,15421583
п,4082287
р,8760368
с,7659679
т,10520696
у,4326233
ф,594008
х,1322542
ц,859686
ч,2023952
ш,1899456
щ,621638
ъ,583752
ы,1994392
ь,1410937
э,426543
ю,686153
я,2589510
ѐ,374
ё,180083
ђ,2315
ѓ,36214
є,112797
ѕ,4112
і,1022588
ї,75824
ј,594413
љ,10602
њ,67645
ћ,10677
ќ,155630
ѝ,384
ў,208603
џ,23858
ѣ,45
҉,12
ґ,20357
ғ,77725
җ,50215
қ,353494
ң,150300
ҥ,16
ҫ,37
ү,156554
ұ,13935
ҳ,421611
ҷ,55289
һ,141471
ӄ,16
ә,1042810
ӣ,58295
ӧ,21
ө,145096
ӯ,86320
՛,232
՜,50
՝,65
՞,879
ա,21736
բ,1669
գ,2053
դ,3278
ե,12978
զ,1113
է,1993
ը,1761
թ,1970
ժ,447
ի,8795
լ,3801
խ,1296
ծ,1202
կ,4932
հ,2918
ձ,900
ղ,1888
ճ,372
մ,7091
յ,4011
ն,14056
շ,1169
ո,11935
չ,2028
պ,1923
ջ,772
ռ,1194
ս,5021
վ,3509
տ,4766
ր,11554
ց,2539
ւ,6379
փ,528
ք,3333
օ,440
ֆ,222
և,686
։,2152
֊,37
ְ,341
ֱ,22
ֲ,97
ִ,568
ֵ,215
ֶ,215
ַ,15742
ָ,8938
ֹ,319
ּ,5044
־,3920
ֿ,8129
ׁ,144
ׂ,50
א,1743107
ב,917425
ג,261145
ד,533529
ה,1907214
ו,2028179
ז,382798
ח,494161
ט,263840
י,2362862
ך,218214
כ,548293
ל,1553192
ם,514853
מ,963762
ן,293283
נ,787062
ס,307746
ע,595931
ף,44169
פ,326385
ץ,19341
צ,248818
ק,423288
ר,1028614
ש,962157
ת,1263025
װ,4411
ױ,2306
ײ,7188
׳,99
؂,428
،,1293286
ؐ,5502
ؑ,10311
ؒ,15
ؓ,31
؛,36838
؟,407813
ؠ,14
ء,145011
آ,708984
أ,1065966
ؤ,140563
إ,338718
ئ,1545863
ا,20954539
ب,5372701
ة,1076383
ت,6936131
ث,257494
ج,2201422
ح,1323894
خ,1479028
د,5769419
ذ,570633
ر,9934303
ز,1491571
س,4522070
ش,1998060
ص,625886
ض,368426
ط,675196
ظ,214065
ع,2077181
غ,487922
ـ,113192
ف,1822448
ق,2027230
ك,1363627
ل,8346319
م,8236122
ن,10145763
ه,5548000
و,10685055
ى,1915602
ي,5019085
ً,179761
ٌ,7749
ٍ,7494
َ,131600
ُ,185554
ِ,173856
ّ,156533
ْ,37070
ٓ,841
ٔ,4210
ٕ,49
ٖ,15
ٗ,65
٠,484
١,383
٢,358
٣,124
٤,135
٥,164
٦,146
٧,45
٨,158
٩,97
٪,524
٫,237
٬,426
٭,1221
ٰ,70057
ٱ,14
ٴ,1379
ٶ,81
ٹ,184282
ټ,16470
پ,1772224
ځ,9328
څ,1983
چ,900317
ڈ,81686
ډ,6956
ڑ,220466
ړ,16079
ڕ,152628
ږ,4175
ژ,48687
ښ,13338
ڤ,557
ڧ,25
ک,5975676
ڪ,17
ګ,10982
ڭ,170091
گ,1843603
ڵ,113648
ں,2206516
ڼ,3380
ھ,1418882
ۀ,1541
ہ,5036364
ۂ,853
ۃ,2899
ۆ,258699
ۇ,426995
ۈ,114897
ۋ,94567
ی,8203999
ۍ,8693
ێ,411830
ې,161510
ے,4595586
ۓ,64
۔,215688
ە,753179
۞,38
ۡ,15
ۤ,900
ۦ,15
۩,114
۰,4101
۱,4358
۲,3012
۳,1574
۴,1336
۵,1443
۶,1037
۷,1107
۸,1145
۹,2063
ަ,18
ߠ,24
ߦ,72
ँ,169830
ं,838421
ः,11789
अ,329926
आ,182701
इ,201187
ई,135785
उ,355444
ऊ,9216
ऋ,352
ऌ,44
ऍ,76
ऎ,118
ए,306319
ऐ,39363
ऑ,4817
ओ,41696
औ,261361
क,2131755
ख,217855
ग,655930
घ,33427
ङ,35280
च,303225
छ,168234
ज,518828
झ,60027
ञ,32683
ट,318859
ठ,70540
ड,226234
ढ,25212
ण,84318
त,1283278
थ,145041
द,679619
ध,98747
न,1758700
ऩ,204
प,856573
फ,222363
ब,582048
भ,192652
म,1222975
य,791993
र,2394985
ऱ,1311
ल,1087046
ळ,2892
व,566966
श,234129
ष,103232
स,1449108
ह,1629765
़,153816
ा,3010145
ि,1328371
ी,980040
ु,813917
ू,290526
ृ,35891
ॅ,2188
ॆ,350
े,2041762
ै,495416
ॉ,25182
ॊ,245
ो,1297396
ौ,47856
्,1959218
॒,33
क़,51732
ख़,58371
ग़,17551
ज़,90582
ड़,32741
ढ़,6778
फ़,22847
य़,42
ॣ,15
।,800844
॥,223
०,7639
१,5714
२,4834
३,2307
४,1989
५,2022
६,1423
७,939
८,1229
९,1149
॰,1157
ঁ,94521
ং,280594
ঃ,60681
অ,392994
আ,949349
ই,612165
ঈ,12505
উ,229557
ঊ,729
ঋ,1034
এ,730776
ঐ,7872
ও,315295
ঔ,675
ক,2848665
খ,380801
গ,478945
ঘ,69827
ঙ,46409
চ,442938
ছ,739776
জ,613214
ঝ,26457
ঞ,47240
ট,687526
ঠ,87706
ড,210970
ঢ,5231
ণ,239802
ত,2439383
থ,440841
দ,1241358
ধ,334015
ন,2969876
প,1324868
ফ,200953
ব,2079547
ভ,356802
ম,1724640
য,1324930
র,4750730
ল,1418573
শ,562986
ষ,359530
স,1561172
হ,825654
়,171046
া,6102327
ি,3010881
ী,430260
ু,943141
ূ,128948
ৃ,108257
ে,5003539
ৈ,51069
ো,614913
ৌ,22087
্,3479324
ৎ,35834
ৗ,3126
ড়,108730
ঢ়,2934
য়,831060
০,48877
১,39279
২,33201
৩,12587
৪,10095
৫,12305
৬,7186
৭,7517
৮,7808
৯,9740
ৰ,318553
ৱ,29036
৳,10
৷,1623
ਂ,39067
ਃ,13
ਅ,13821
ਆ,16989
ਇ,24015
ਈ,17912
ਉ,8356
ਊ,2751
ਏ,1395
ਐ,3430
ਓ,7387
ਔ,82
ਕ,71825
ਖ,15516
ਗ,21760
ਘ,1636
ਚ,19444
ਛ,1924
ਜ,30863
ਝ,1875
ਞ,19
ਟ,42546
ਠ,1983
ਡ,26491
ਢ,910
ਣ,18976
ਤ,38545
ਥ,3422
ਦ,28437
ਧ,5232
ਨ,50611
ਪ,31767
ਫ,16527
ਬ,22202
ਭ,7126
ਮ,32726
ਯ,3511
ਰ,86764
ਲ,70283
ਲ਼,520
ਵ,33033
ਸ਼,3086
ਸ,64288
ਹ,45855
਼,15648
ਾ,121245
ਿ,50755
ੀ,65901
ੁ,20643
ੂ,15709
ੇ,47283
ੈ,32078
ੋ,53369
ੌ,3648
੍,5391
ਗ਼,117
ਜ਼,861
ੜ,4383
ਫ਼,213
੦,462
੧,256
੨,236
੩,76
੪,26
੫,58
੬,55
੭,32
੮,44
੯,115
ੰ,29375
ੱ,36038
ੲ,14
ੳ,24
ં,202293
ઃ,1479
અ,50492
આ,47067
ઇ,30052
ઈ,31335
ઉ,22483
ઊ,2523
ઋ,22
ઍ,573
એ,30137
ઐ,22
ઑ,346
ઓ,26889
ઔ,40
ક,319874
ખ,51276
ગ,75750
ઘ,7174
ચ,48060
છ,60243
જ,85944
ઝ,7044
ઞ,1812
ટ,116315
ઠ,4792
ડ,79081
ઢ,5099
ણ,48723
ત,222548
થ,91297
દ,93741
ધ,48594
ન,354098
પ,196332
ફ,59438
બ,90587
ભ,26605
મ,248788
ય,160099
ર,477808
લ,190712
ળ,36881
વ,218428
શ,91450
ષ,24042
સ,215797
હ,84216
઼,110
ા,623913
િ,167269
ી,263856
ુ,116369
ૂ,51135
ૃ,4199
ૅ,2852
ે,397248
ૈ,2757
ૉ,958
ો,305867
ૌ,694
્,398877
ૢ,13
૦,2395
૧,2009
૨,1611
૩,789
૪,476
૫,596
૬,370
૭,272
૮,367
૯,439
ଁ,2194
ଂ,1591
ଃ,167
ଅ,3082
ଆ,2555
ଇ,3756
ଈ,17
ଉ,1569
ଏ,2771
ଓ,360
କ,18132
ଖ,1759
ଗ,4351
ଘ,380
ଙ,1176
ଚ,2670
ଛ,1862
ଜ,1392
ଝ,19
ଞ,395
ଟ,3636
ଠ,894
ଡ,3313
ଢ,204
ଣ,4539
ତ,11890
ଥ,2593
ଦ,4208
ଧ,1815
ନ,13704
ପ,10066
ଫ,1533
ବ,10646
ଭ,1771
ମ,6121
ଯ,2916
ର,23725
ଲ,5071
ଳ,2021
ଵ,49
ଶ,2720
ଷ,2135
ସ,9607
ହ,4907
଼,1438
ା,24138
ି,21484
ୀ,2004
ୁ,11465
ୂ,1542
ୃ,679
େ,8472
ୈ,272
ୋ,3987
ୌ,256
୍,26266
ଡ଼,57
ୟ,4197
୤,18
୦,88
୧,95
୨,70
୩,37
୪,24
୫,32
୬,19
୭,13
୮,26
୯,17
ୱ,840
ஃ,12637
அ,332282
ஆ,44321
இ,177080
ஈ,6884
உ,104314
ஊ,2209
எ,133570
ஏ,16408
ஐ,3106
ஒ,34177
ஓ,6721
க,1471813
ங,158410
ச,294598
஛,15
ஜ,8596
ஞ,8167
ட,557620
ண,133354
த,925441
ந,365392
ன,654739
ப,622213
ம,775565
ய,469223
ர,708636
ற,430764
ல,480994
ள,518233
ழ,66856
வ,722233
ஷ,7741
ஸ,23868
ஹ,52811
ா,890849
ி,985320
ீ,132206
ு,1217014
ூ,84335
ெ,229348
ே,293479
ை,491719
ொ,15530
ோ,24893
ௌ,148
்,3037339
ం,61064
ః,99
అ,17625
ఆ,6881
ఇ,6821
ఈ,2860
ఉ,8702
ఊ,203
ఎ,5682
ఏ,3430
ఐ,756
ఒ,5231
ఓ,1110
ఔ,73
క,64035
ఖ,1998
గ,21889
ఘ,226
చ,30895
ఛ,193
జ,7499
ఞ,93
ట,27948
ఠ,208
డ,31372
ఢ,24
ణ,2796
త,35607
థ,2038
ద,37375
ధ,3426
న,92784
ప,35824
ఫ,4022
బ,11518
భ,3255
మ,52207
య,28651
ర,69539
ఱ,20
ల,45853
ళ,4320
వ,35108
శ,4295
ష,6028
స,34995
హ,6412
ా,73565
ి,104273
ీ,25152
ు,116927
ూ,7637
ృ,893
ె,22219
ే,35996
ై,1745
ొ,9896
ో,17828
ౌ,1333
్,120819
ౖ,4767
ಂ,8349
ಃ,54
ಅ,3634
ಆ,1964
ಇ,1663
ಈ,782
ಉ,655
ಊ,13
ಋ,14
ಎ,1205
ಏ,122
ಐ,126
ಒ,954
ಓ,143
ಔ,31
ಕ,16846
ಖ,603
ಗ,13986
ಘ,216
ಚ,3163
ಛ,169
ಜ,1725
ಝ,46
ಞ,60
ಟ,5473
ಠ,262
ಡ,6737
ಢ,64
ಣ,2865
ತ,13888
ಥ,1640
ದ,14391
ಧ,1355
ನ,22063
ಪ,7412
ಫ,779
ಬ,5253
ಭ,862
ಮ,7556
ಯ,11929
ರ,18272
ಲ,14797
ಳ,7362
ವ,13136
ಶ,2771
ಷ,1949
ಸ,16082
ಹ,4597
ಾ,17265
ಿ,30723
ೀ,2584
ು,24022
ೂ,2200
ೃ,428
ೆ,15127
ೇ,3469
ೈ,950
ೊ,2900
ೋ,3181
ೌ,433
್,37555
೦,165
೧,153
೨,99
೩,47
೪,52
೫,55
೬,49
೭,31
೮,40
೯,68
ം,1000939
ഃ,2544
അ,800639
ആ,148479
ഇ,174983
ഈ,30720
ഉ,81275
ഊ,2977
ഋ,131
എ,278579
ഏ,31234
ഐ,4867
ഒ,124025
ഓ,27551
ഔ,2983
ക,3145370
ഖ,25574
ഗ,112980
ഘ,8110
ങ,861957
ച,735763
ഛ,8383
ജ,100629
ഝ,10
ഞ,301341
ട,1289629
ഠ,10313
ഡ,44179
ഢ,2396
ണ,651092
ത,2026133
ഥ,60595
ദ,285869
ധ,127408
ന,3513749
പ,1128724
ഫ,42822
ബ,86241
ഭ,96986
മ,900909
യ,1505991
ര,1639304
റ,724022
ല,1473887
ള,887612
ഴ,121086
വ,1380122
ശ,222748
ഷ,221636
സ,529965
ഹ,228632
ാ,1970728
ി,3080871
ീ,249246
ു,2659331
ൂ,189081
ൃ,41247
െ,1348722
േ,414690
ൈ,47271
ൊ,200833
ോ,519089
ൌ,6704
്,7933388
ൗ,2429
൦,174
൪,361
൯,377
ൺ,2773
ൻ,48682
ർ,38065
ൽ,39786
ൾ,38266
ൿ,14
ං,61991
ඃ,64
අ,274543
ආ,57285
ඇ,102304
ඈ,1583
ඉ,105461
ඊ,8536
උ,71704
ඌ,4150
ඍ,96
එ,276351
ඒ,143844
ඓ,59
ඔ,298635
ඕ,54028
ඖ,104
ක,1382042
ඛ,2361
ග,474542
ඝ,1431
ඞ,48
ඟ,16050
ච,54932
ඡ,990
ජ,57849
ඤ,366
ඥ,2619
ට,567799
ඨ,1072
ඩ,139678
ඪ,17
ණ,82305
ඬ,1291
ත,857731
ථ,12949
ද,688432
ධ,31803
න,2321141
ඳ,40591
ප,456345
ඵ,825
බ,229245
භ,15061
ම,1338167
ඹ,15688
ය,1206181
ර,779821
ල,626040
ව,1222666
ශ,53998
ෂ,33741
ස,481979
හ,581247
ළ,67392
ෆ,13197
්,2189086
ා,1206728
ැ,417916
ෑ,95621
ි,1439680
ී,115739
ු,671837
ූ,29362
ෘ,6747
ෙ,757954
ේ,603429
ෛ,2906
ො,318849
ෝ,104515
ෞ,2822
ෟ,265
ෲ,679
෴,277
฀,6994
ก,1080002
ข,390710
ฃ,3127
ค,652486
ฅ,1943
ฆ,12858
ง,983478
จ,468388
ฉ,193969
ช,224110
ซ,80391
ฌ,178
ญ,54201
ฎ,2647
ฏ,6519
ฐ,8333
ฑ,3702
ฒ,5867
ณ,172232
ด,659714
ต,437347
ถ,130233
ท,566701
ธ,183162
น,1883955
บ,460448
ป,384688
ผ,172434
ฝ,12047
พ,313309
ฟ,45980
ภ,25907
ม,1110935
ย,807370
ร,1092540
ฤ,2416
ล,692128
ฦ,16
ว,788872
ศ,33062
ษ,33650
ส,378813
ห,564647
ฬ,944
อ,1515149
ฮ,39682
ฯ,652
ะ,608305
ั,1075012
า,1732973
ำ,192439
ิ,417575
ี,782518
ึ,107963
ื,274553
ุ,297559
ู,323029
ฺ,3890
เ,1401472
แ,461887
โ,151501
ใ,306520
ไ,688398
ๆ,53190
็,272592
่,1620893
้,1226669
๊,19510
๋,15334
์,160514
ํ,598
๏,17
๑,18
๒,11
๔,14
་,4393
།,439
ཀ,162
ཁ,86
ག,951
ང,393
ཅ,146
ཆ,46
ཇ,22
ཉ,36
ཊ,70
ཌ,29
ཏ,106
ཐ,279
ད,954
ན,668
པ,218
ཕ,59
བ,927
མ,630
ཙ,53
ཚ,243
ཛ,39
ཝ,29
ཞ,110
ཟ,33
འ,601
ཡ,193
ར,522
ལ,635
ཤ,83
ས,1090
ཧ,21
ཨ,137
ཱ,31
ི,1209
ུ,724
ེ,631
ོ,873
ྐ,97
ྒ,173
ྗ,11
ྟ,114
ྡ,42
ྣ,28
ྤ,47
ྦ,28
ྩ,88
ྱ,273
ྲ,283
ླ,15
ྷ,17
က,37361
ခ,14895
ဂ,1714
င,32742
စ,19051
ဆ,6973
ဇ,494
ဉ,950
ည,12824
ဋ,15
ဌ,59
ဍ,18
ဏ,437
တ,25399
ထ,7926
ဒ,5395
ဓ,376
န,21293
ပ,34048
ဖ,12884
ဗ,1552
ဘ,3305
မ,31589
ယ,8555
ရ,22768
လ,14928
ဝ,2368
သ,23102
ဟ,1460
အ,23141
ဤ,381
ဥ,420
ဦ,135
ဧ,51
ဩ,15
ါ,10665
ာ,45786
ိ,38709
ီ,11037
ု,49173
ူ,7295
ေ,31303
ဲ,7161
ံ,9936
့,18969
း,49134
္,1603
်,99908
ျ,16137
ြ,19404
ွ,17952
ှ,17895
ဿ,46
၀,962
၁,652
၂,395
၃,119
၄,291
၅,163
၆,130
၇,101
၈,78
၉,188
၊,797
။,3247
၌,57
၍,399
၎,59
၏,1289
ၐ,53
ა,1093004
ბ,163622
გ,341508
დ,158350
ე,369160
ვ,779297
ზ,71396
თ,642882
ი,123673
კ,295191
ლ,260123
მ,345550
ნ,479337
ო,220203
პ,339342
ჟ,371141
რ,538911
ს,171286
ტ,26195
უ,43364
ფ,99938
ქ,106686
ღ,53860
ყ,93479
შ,14821
ჩ,11098
ც,8549
ძ,9731
წ,110983
ჭ,1111
ხ,10431
ჯ,1561
ჰ,868
ჱ,163103
ჲ,700726
ჳ,49836
ჴ,12
ჵ,27
ሀ,1833
ሁ,40591
ሂ,862
ሃ,4718
ሄ,232
ህ,49407
ሆ,9834
ለ,84093
ሉ,33348
ሊ,4794
ላ,93936
ሌ,8286
ል,70338
ሎ,3149
ሏ,1284
ሐ,4807
ሑ,620
ሒ,80
ሓ,3407
ሔ,95
ሕ,10013
ሖ,19
መ,79925
ሙ,6143
ሚ,24408
ማ,28961
ሜ,1063
ም,177370
ሞ,6071
ሟ,668
ሠ,5969
ሡ,124
ሢ,15
ሣ,1150
ሥ,5067
ሦ,245
ረ,31715
ሩ,19001
ሪ,12290
ራ,31959
ሬ,2549
ር,96028
ሮ,9533
ሯ,331
ሰ,37665
ሱ,40583
ሲ,6260
ሳ,18922
ሴ,2643
ስ,57155
ሶ,2993
ሷ,4933
ሸ,5069
ሹ,1229
ሺ,483
ሻ,7015
ሼ,95
ሽ,2510
ሾ,1067
ሿ,16
ቀ,29085
ቁ,10865
ቂ,5835
ቃ,11349
ቄ,361
ቅ,17988
ቆ,4003
ቋ,1436
ቍ,135
በ,129656
ቡ,4094
ቢ,7761
ባ,31330
ቤ,3932
ብ,29244
ቦ,7635
ቧ,590
ቨ,149
ቪ,255
ቫ,41
ቬ,21
ቭ,17
ቯ,32
ተ,68879
ቱ,13842
ቲ,1393
ታ,39721
ቴ,1003
ት,110428
ቶ,10945
ቷ,756
ቸ,48921
ቹ,9781
ቺ,466
ቻ,18372
ቼ,1454
ች,90724
ቾ,482
ቿ,229
ኀ,1610
ኃ,1412
ኄ,32
ኅ,709
ኋ,5588
ነ,102684
ኑ,15280
ኒ,634
ና,64357
ኔ,5689
ን,215802
ኖ,8520
ኗ,103
ኘ,1582
ኙ,1353
ኚ,90
ኛ,16943
ኜ,90
ኝ,6904
ኞ,5766
አ,114387
ኡ,29
ኢ,2009
ኣ,2230
ኤ,1490
እ,114204
ኦ,317
ከ,70770
ኩ,2965
ኪ,1505
ካ,15474
ኬ,133
ክ,22116
ኮ,2473
ኳ,890
ኸ,474
ኹ,838
ኺ,210
ኻ,120
ኼ,615
ኽ,135
ኾ,22187
ወ,35089
ዉ,387
ዊ,1797
ዋ,18163
ዌ,177
ው,136234
ዎ,23248
ዐ,4087
ዑ,69
ዒ,419
ዓ,6099
ዕ,5243
ዖ,1565
ዘ,14534
ዙ,4927
ዚ,21545
ዛ,7591
ዜ,10563
ዝ,10603
ዞ,1370
ዟ,309
ዠ,45
ዡ,46
ዢ,303
ዣ,144
ዤ,15
ዥ,320
ዦ,276
ዧ,15
የ,77619
ዩ,3584
ያ,68280
ዬ,1983
ይ,80578
ዮ,2420
ደ,42946
ዱ,7246
ዲ,6980
ዳ,15256
ዴ,1833
ድ,34358
ዶ,3312
ዷ,390
ጀ,2585
ጁ,484
ጂ,2757
ጃ,2259
ጄ,84
ጅ,5604
ጆ,3551
ገ,40354
ጉ,4012
ጊ,11833
ጋ,15188
ጌ,9605
ግ,30245
ጎ,3484
ጐ,44
ጓ,1287
ጠ,24755
ጡ,5620
ጢ,2490
ጣ,21235
ጤ,1233
ጥ,34742
ጦ,685
ጧ,1441
ጨ,4750
ጩ,437
ጪ,472
ጫ,2811
ጭ,4042
ጮ,841
ጯ,15
ጲ,14
ጴ,11
ጵ,328
ጸ,4677
ጹ,1496
ጺ,10
ጻ,1570
ጼ,319
ጽ,7302
ጾ,1883
ጿ,30
ፀ,644
ፁ,104
ፃ,267
ፄ,36
ፅ,298
ፆ,17
ፈ,17484
ፉ,3799
ፊ,8841
ፋ,7551
ፌ,228
ፍ,17262
ፎ,2109
ፏ,241
ፐ,214
ፑ,11
ፒ,116
ፓ,445
ፔ,42
ፕ,535
ፖ,433
፡,226684
።,599
፣,7681
፤,11119
፥,31
፦,2742
፱,16
ក,181066
ខ,16689
គ,30033
ឃ,2513
ង,103613
ច,75267
ឆ,4347
ជ,44489
ឈ,4802
ញ,39834
ដ,71403
ឋ,4647
ឌ,4325
ឍ,569
ណ,43363
ត,117031
ថ,22439
ទ,76169
ធ,30615
ន,214519
ប,195752
ផ,25419
ព,62947
ភ,17727
ម,150083
យ,63417
រ,218716
ល,99791
វ,60296
ស,129582
ហ,22544
ឡ,9761
អ,65160
ឥ,1131
ឧ,4092
ឪ,18
ឫ,21
ឬ,5529
ឮ,34
ឯ,8820
ឱ,57
ឲ,5429
ឳ,15
ា,280106
ិ,71947
ី,58484
ឹ,12761
ឺ,6516
ុ,64382
ូ,55250
ួ,27841
ើ,75144
ឿ,973
ៀ,9158
េ,52145
ែ,47918
ៃ,9372
ោ,28864
ៅ,21643
ំ,68320
ះ,24721
ៈ,2795
៉,16130
៊,13248
់,89955
៌,5452
៍,8402
៏,1368
័,17488
្,340402
។,32379
៖,11104
ៗ,2422
០,2969
១,1675
២,2018
៣,692
៤,585
៥,504
៦,416
៧,297
៨,383
៩,555
ᵽ,63
ᶍ,10
ḍ,10
ḥ,29
ṃ,35
ṅ,10
ṇ,11
ṣ,4772
ṭ,43
ẃ,19
ạ,136027
ả,166715
ấ,181258
ầ,73017
ẩ,10961
ẫ,15138
ậ,137589
ắ,86791
ằ,24057
ẳ,8976
ẵ,3198
ặ,33736
ẹ,35640
ẻ,16222
ẽ,95494
ế,226330
ề,86200
ể,106504
ễ,9079
ệ,110844
ỉ,34990
ị,76327
ọ,119555
ỏ,34553
ố,144057
ồ,86074
ổ,36304
ỗ,22847
ộ,122235
ớ,127818
ờ,135118
ở,72656
ỡ,5858
ợ,91665
ụ,59129
ủ,93568
ứ,78856
ừ,54409
ử,21890
ữ,61125
ự,43349
ỳ,3251
ỵ,556
ỷ,2586
ỹ,3347
ἀ,13
ἧ,57
ὰ,17
ὶ,15
ὸ,9
ὺ,11
 ,16
 ,226
​,593002
‌,2011770
‍,1440267
‎,67766
‏,28975
‐,785
‑,1654
‒,223
–,253542
—,126747
―,10091
‘,22752
’,1142680
‚,4089
‛,20
“,280029
”,273520
„,89917
‟,247
†,965
‡,275
•,45590
․,41
…,55930
‧,11
 ,17
‪,540
‫,15620
‬,946
‭,39
 ,57
‰,376
′,6164
″,710
‵,23
‹,1541
›,1864
※,162
‾,13
⁄,19
⁠,54
⁴,16
⁵,14
⁶,13
⁻,24
ⁿ,12
₂,15
₣,10
₪,19
₫,12
€,23429
₴,23
℃,60
ℓ,10
№,5338
™,2995
⅓,21
⅔,15
⅕,15
⅖,12
⅗,12
⅘,14
⅙,15
←,96
↑,1442
→,1657
↓,2857
↔,586
↗,11
⇒,24
∂,42
∆,2087
∏,85
∑,36
−,5082
∕,92
∗,340
∙,47680
√,393
∝,16
∞,491
∣,16
∫,81
∮,271
∶,118
∼,33
≈,223
≠,218
≡,18
≤,5184
≥,10494
≪,112
≫,32
⊿,225
⋅,48
⋆,10
⌊,10
⌋,10
⌦,36
⌫,36
⎢,13
⎥,12
⏐,22
⑴,137
⑵,101
⑶,50
⑷,38
⑸,22
⑹,17
⑺,14
⑻,13
─,1573
━,323
│,1353
┄,15
┅,10
┆,126
┌,52
┏,12
┐,11
┓,15
└,327
┕,55
┘,48
├,15
┝,17
┞,11
┟,52
┠,95
┣,32
┤,26
┥,16
┦,13
┧,15
┪,24
┫,201
┬,53
┮,73
┰,28
┱,22
┲,19
┶,37
╆,22
╇,49
╈,109
║,12
╗,13
╟,62
╠,16
╡,51
╢,32
╣,64
╥,10
╦,55
╧,39
╨,19
╩,33
╪,29
╫,31
╬,76
▀,25
▄,17
█,125
▌,18
▐,15
░,36
▒,27
